region,value
abruzzo,8
bari,2
basilicata,1
bologna,2
cagliari,1
calabria,1
campania,3
emilia-romagna,11
firenze,4
friuli,3
genova,3
lazio,8
liguria,3
lombardia,33
marche,7
milano,7
napoli,3
palermo,2
piemonte,11
puglia,5
roma,8
sardegna,1
sicilia,8
torino,2
toscana,11
trentino,1
umbria,7
valle-daosta,1
veneto,9
venezia,1
verona,1
